[run number],n-turtles,spread-chance,pop-weight,n-groups,familiarity-inc,group-tightness,fam-weight,[steps],proportion
96,100,0,0,10,0.1,0.3,0.9,5000,0.55
97,100,0,0,10,0.1,0.3,0.9,5000,0.61
98,100,0,0,10,0.1,0.3,0.9,5000,0.63
99,100,0,0,10,0.1,0.3,0.9,321,1
100,100,0,0,10,0.1,0.3,0.9,5000,0.65
101,100,0,0,10,0.1,0.3,1,5000,0.6
102,100,0,0,10,0.1,0.3,1,5000,0.57
103,100,0,0,10,0.1,0.3,1,274,1
104,100,0,0,10,0.1,0.3,1,5000,0.56
105,100,0,0,10,0.1,0.3,1,5000,0.7
106,100,0,0,10,0.1,0.3,1,5000,0.5
107,100,0,0,10,0.1,0.3,1,5000,0.51
108,100,0,0,10,0.1,0.3,1,5000,0.63
109,100,0,0,10,0.1,0.3,1,5000,0.52
110,100,0,0,10,0.1,0.3,1,5000,0.74
111,100,0,0.1,10,0.1,0.3,0,5000,0.79
112,100,0,0.1,10,0.1,0.3,0,5000,0.65
113,100,0,0.1,10,0.1,0.3,0,5000,0.53
114,100,0,0.1,10,0.1,0.3,0,5000,0.87
115,100,0,0.1,10,0.1,0.3,0,5000,0.89
116,100,0,0.1,10,0.1,0.3,0,5000,0.58
117,100,0,0.1,10,0.1,0.3,0,5000,0.78
118,100,0,0.1,10,0.1,0.3,0,5000,0.75
119,100,0,0.1,10,0.1,0.3,0,5000,0.7
120,100,0,0.1,10,0.1,0.3,0,343,1
121,100,0,0.1,10,0.1,0.3,0.1,5000,0.54
122,100,0,0.1,10,0.1,0.3,0.1,5000,0.55
123,100,0,0.1,10,0.1,0.3,0.1,5000,0.66
124,100,0,0.1,10,0.1,0.3,0.1,5000,0.71
125,100,0,0.1,10,0.1,0.3,0.1,5000,0.7
126,100,0,0.1,10,0.1,0.3,0.1,5000,0.55
127,100,0,0.1,10,0.1,0.3,0.1,5000,0.65
128,100,0,0.1,10,0.1,0.3,0.1,5000,0.57
129,100,0,0.1,10,0.1,0.3,0.1,5000,0.63
130,100,0,0.1,10,0.1,0.3,0.1,290,1
131,100,0,0.1,10,0.1,0.3,0.2,5000,0.59
132,100,0,0.1,10,0.1,0.3,0.2,5000,0.63
133,100,0,0.1,10,0.1,0.3,0.2,5000,0.54
134,100,0,0.1,10,0.1,0.3,0.2,5000,0.65
135,100,0,0.1,10,0.1,0.3,0.2,215,1
136,100,0,0.1,10,0.1,0.3,0.2,5000,0.56
137,100,0,0.1,10,0.1,0.3,0.2,5000,0.6
138,100,0,0.1,10,0.1,0.3,0.2,5000,0.8
139,100,0,0.1,10,0.1,0.3,0.2,5000,0.57
140,100,0,0.1,10,0.1,0.3,0.2,5000,0.59
141,100,0,0.1,10,0.1,0.3,0.3,5000,0.56
142,100,0,0.1,10,0.1,0.3,0.3,5000,0.69
143,100,0,0.1,10,0.1,0.3,0.3,5000,0.55
144,100,0,0.1,10,0.1,0.3,0.3,5000,0.58
145,100,0,0.1,10,0.1,0.3,0.3,5000,0.58
146,100,0,0.1,10,0.1,0.3,0.3,5000,0.64
147,100,0,0.1,10,0.1,0.3,0.3,5000,0.56
148,100,0,0.1,10,0.1,0.3,0.3,5000,0.59
149,100,0,0.1,10,0.1,0.3,0.3,5000,0.56
150,100,0,0.1,10,0.1,0.3,0.3,5000,0.52
151,100,0,0.1,10,0.1,0.3,0.4,5000,0.56
152,100,0,0.1,10,0.1,0.3,0.4,5000,0.53
153,100,0,0.1,10,0.1,0.3,0.4,5000,0.82
154,100,0,0.1,10,0.1,0.3,0.4,3538,1
155,100,0,0.1,10,0.1,0.3,0.4,5000,0.72
156,100,0,0.1,10,0.1,0.3,0.4,5000,0.88
157,100,0,0.1,10,0.1,0.3,0.4,5000,0.62
158,100,0,0.1,10,0.1,0.3,0.4,5000,0.59
159,100,0,0.1,10,0.1,0.3,0.4,5000,0.69
160,100,0,0.1,10,0.1,0.3,0.4,5000,0.78
161,100,0,0.1,10,0.1,0.3,0.5,5000,0.74
162,100,0,0.1,10,0.1,0.3,0.5,5000,0.59
163,100,0,0.1,10,0.1,0.3,0.5,5000,0.65
164,100,0,0.1,10,0.1,0.3,0.5,1279,1
165,100,0,0.1,10,0.1,0.3,0.5,5000,0.55
166,100,0,0.1,10,0.1,0.3,0.5,5000,0.52
167,100,0,0.1,10,0.1,0.3,0.5,5000,0.72
168,100,0,0.1,10,0.1,0.3,0.5,5000,0.68
169,100,0,0.1,10,0.1,0.3,0.5,477,1
170,100,0,0.1,10,0.1,0.3,0.5,5000,0.55
171,100,0,0.1,10,0.1,0.3,0.6,5000,0.62
172,100,0,0.1,10,0.1,0.3,0.6,5000,0.53
173,100,0,0.1,10,0.1,0.3,0.6,5000,0.93
174,100,0,0.1,10,0.1,0.3,0.6,5000,0.62
175,100,0,0.1,10,0.1,0.3,0.6,5000,0.59
176,100,0,0.1,10,0.1,0.3,0.6,495,1
177,100,0,0.1,10,0.1,0.3,0.6,5000,0.75
178,100,0,0.1,10,0.1,0.3,0.6,5000,0.52
179,100,0,0.1,10,0.1,0.3,0.6,5000,0.58
180,100,0,0.1,10,0.1,0.3,0.6,5000,0.77
181,100,0,0.1,10,0.1,0.3,0.7,5000,0.51
182,100,0,0.1,10,0.1,0.3,0.7,5000,0.59
183,100,0,0.1,10,0.1,0.3,0.7,5000,0.74
184,100,0,0.1,10,0.1,0.3,0.7,5000,0.64
185,100,0,0.1,10,0.1,0.3,0.7,5000,0.7
186,100,0,0.1,10,0.1,0.3,0.7,5000,0.6
187,100,0,0.1,10,0.1,0.3,0.7,5000,0.55
188,100,0,0.1,10,0.1,0.3,0.7,5000,0.57
189,100,0,0.1,10,0.1,0.3,0.7,5000,0.79
190,100,0,0.1,10,0.1,0.3,0.7,5000,0.56
191,100,0,0.1,10,0.1,0.3,0.8,5000,0.75
192,100,0,0.1,10,0.1,0.3,0.8,5000,0.55
193,100,0,0.1,10,0.1,0.3,0.8,5000,0.64
194,100,0,0.1,10,0.1,0.3,0.8,211,1
195,100,0,0.1,10,0.1,0.3,0.8,5000,0.63
196,100,0,0.1,10,0.1,0.3,0.8,5000,0.85
197,100,0,0.1,10,0.1,0.3,0.8,5000,0.66
198,100,0,0.1,10,0.1,0.3,0.8,5000,0.69
199,100,0,0.1,10,0.1,0.3,0.8,5000,0.95
200,100,0,0.1,10,0.1,0.3,0.8,5000,0.59
201,100,0,0.1,10,0.1,0.3,0.9,5000,0.53
202,100,0,0.1,10,0.1,0.3,0.9,5000,0.6
203,100,0,0.1,10,0.1,0.3,0.9,5000,0.68
204,100,0,0.1,10,0.1,0.3,0.9,5000,0.53
205,100,0,0.1,10,0.1,0.3,0.9,787,1
206,100,0,0.1,10,0.1,0.3,0.9,5000,0.54
207,100,0,0.1,10,0.1,0.3,0.9,328,1
208,100,0,0.1,10,0.1,0.3,0.9,5000,0.6
209,100,0,0.1,10,0.1,0.3,0.9,5000,0.57
210,100,0,0.1,10,0.1,0.3,0.9,5000,0.8
211,100,0,0.1,10,0.1,0.3,1,392,1
212,100,0,0.1,10,0.1,0.3,1,5000,0.73
213,100,0,0.1,10,0.1,0.3,1,5000,0.6
214,100,0,0.1,10,0.1,0.3,1,5000,0.77
215,100,0,0.1,10,0.1,0.3,1,289,1
